"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"1","Dark Magician","Young Gibby",0.724,0.49,1,-8.339,0.152,0.00271,0,0.105,0.438,159.993,"4mA4y5IdQ4z0uWTfHcmC9v",145634,4,2022-03-31
"2","Shotgun Love","Lindsay Capuano",0.621,0.501,11,-9.106,0.041,0.0866,0,0.0744,0.214,75.999,"2eMRPZoofnqAMkWwVBPheT",145263,4,2022-03-31
"3","Love Letter (feat. The Knocks)","ODESZA",0.635,0.835,8,-2.876,0.0589,0.0948,0.0119,0.285,0.216,109.987,"26wuBc04catG1QQyYupr35",253122,4,2022-03-31
"4","Open Your Mind","Big Gigantic",0.75,0.912,5,-2.17,0.176,0.0354,0.000377,0.766,0.612,146.179,"1ztnDy21iJOc5eH7wvbEeV",174247,4,2022-03-31
"5","Believe","Caamp",0.516,0.635,3,-8.024,0.0347,0.0324,0.00187,0.0674,0.704,150.067,"0QFGZqqB1KDpOtyL3vXMXo",195107,4,2022-03-31
"6","Cry (with Aluna)","Louis The Child",0.915,0.766,1,-5.503,0.054,0.0102,0.0625,0.129,0.687,120,"2HdEtRBwROKFsTiX2VTLCq",169434,4,2022-03-31
"7","Color Of Your Soul","GRiZ",0.486,0.964,9,-3.615,0.0548,0.00147,0.0628,0.101,0.177,139.958,"71LZ7lwCisTG3H9UXKraTe",202286,4,2022-03-31
"8","Highway Boys","Zach Bryan",0.484,0.362,0,-8.989,0.05,0.125,1.39e-05,0.103,0.299,153.911,"77OK2W45f7DEYgUEQs00PY",220035,4,2022-03-31
"9","HANDSOMER (Remix) (Feat. Ktlyn)","Russ",0.891,0.62,8,-6.822,0.157,0.176,1.59e-06,0.103,0.535,82.035,"0vp1sk3FzuDBeLMLcRhQdL",143415,4,2022-03-31
"10","Lemon Tree","Mt. Joy",0.365,0.748,10,-9.145,0.0881,0.55,0.503,0.303,0.475,121.285,"0SnCZci0wyVj0RZXknNaWq",248560,4,2022-03-31
"11","Firepit","Phantoms",0.669,0.884,0,-6.587,0.0367,0.0164,0.00534,0.111,0.188,123.998,"598YYFar90QPnyGE3jmgGo",243331,4,2022-03-31
"12","Tiebreaker","The Head And The Heart",0.6,0.713,6,-5.238,0.0381,0.0765,0.000269,0.575,0.543,133.211,"2jQrCn5lMF1tnICJ0sv1qZ",239467,4,2022-03-31
"13","up again","mike.",0.844,0.407,1,-9.092,0.0507,0.627,0.0276,0.117,0.311,92.981,"4wrhAoRQfmv35znEXDip7X",168902,4,2022-03-31
"14","Into The Void","Minnesota",0.475,0.662,7,-6.799,0.0289,0.716,0.789,0.119,0.208,169.93,"2Mb8T742ckl5v5DkMob2f3",240000,3,2022-03-31
"15","Wild as Her","Corey Kent",0.497,0.726,0,-6.018,0.0363,0.00331,0,0.103,0.418,147.91,"7FEu6U2jXAs2URjx93AyTm",201639,4,2022-03-31
"16","Stars In The Sky - From Sonic The Hedgehog 2","Kid Cudi",0.734,0.766,1,-6.44,0.0376,0.0497,0.000314,0.0931,0.832,132.064,"0WFOl7P9gowO92fuI0eJIZ",185669,4,2022-03-31
"17","Puzzle Box","Rezz",0.696,0.488,1,-7.508,0.0403,0.196,0.836,0.2,0.202,95.064,"5EhnuLMer8qAXEDwmLtyrW",212211,4,2022-03-31
"18","Rolex® On A Redneck","Brantley Gilbert",0.651,0.793,7,-4.571,0.0311,0.309,0,0.371,0.381,130.012,"2jaNHcSRgPvtMXu5rboE7T",179867,4,2022-03-31
"19","Humble Quest","Maren Morris",0.623,0.727,3,-6.585,0.037,0.0721,0.000318,0.117,0.349,113.902,"2kxytjpDPwjZGqVLH8eWkr",204240,4,2022-03-31
"20","Cowboy Killer","Ian Munsick",0.784,0.723,11,-5.619,0.04,0.0163,0,0.16,0.739,115.047,"6a2DSH1UNOj3wRAFTD2Ljd",132507,4,2022-03-31
"21","Why","Late Night Radio",0.42,0.656,10,-6.287,0.0382,0.000485,0.17,0.0681,0.403,162.018,"5lT73kFy624ns90M1foaSc",192222,3,2022-03-31
"22","Soy El Unico","Yahritza Y Su Esencia",0.708,0.449,4,-4.369,0.0286,0.451,0,0.111,0.63,84.396,"6HJIZUOiZDE814XMhRGSZN",214000,1,2022-03-31
