"","y_pred_rf","index"
"1",44.7866,1
"26",65.0376,2
"53",44.5045333333333,3
"74",44.4501,4
"100",20.7655666666667,5
"122",19.3487333333333,6
"144",19.6328333333333,7
"207",63.5924,8
"283",3.50896666666667,9
"331",3.4149,10
"501",17.9231,11
"75",20.0840666666667,12
"429",32.1284333333333,13
"2",47.3179333333334,14
"27",48.0040333333334,15
"76",32.0525,16
"123",11.7173333333333,17
"145",11.1608,18
"164",34.2379,19
"309",14.0531,20
"332",14.1892,21
"363",13.9293333333333,22
"408",21.2259333333333,23
"28",22.9716333333333,24
"77",22.4106333333333,25
"183",33.0801333333333,26
"263",20.5913666666667,27
"364",19.838,28
"450",21.1967666666667,29
"78",29.1342333333333,30
"184",42.4300666666667,31
"284",8.1701,32
"333",7.4863,33
"451",49.8542,34
"477",46.8338333333333,35
"528",20.0922,36
"29",51.7256333333334,37
"264",60.2911666666667,38
"365",13.9993,39
"452",30.8958666666666,40
"502",39.9618,41
"529",40.6378333333333,42
"79",35.4715333333333,43
"101",41.3567333333333,44
"244",65.9237333333333,45
"265",17.8121,46
"310",29.7268,47
"334",29.9996333333333,48
"430",51.7883,49
"503",30.249,50
"54",44.3875,51
"146",28.2511,52
"80",36.1429333333333,53
"124",43.3972,54
"3",35.6270666666667,55
"165",41.3939666666667,56
"185",43.5123,57
"208",44.7555333333333,58
"224",53.7210666666666,59
"389",41.3063666666667,60
"453",50.4416,61
"478",18.255,62
"504",38.4117333333333,63
"4",33.3731666666667,64
"81",24.9085666666667,65
"125",35.5214333333333,66
"186",41.6516,67
"225",29.7088333333333,68
"366",27.1684,69
"431",23.7776333333333,70
"82",41.7257333333333,71
"226",49.6942666666666,72
"245",56.7369,73
"432",44.0513666666666,74
"454",44.6843666666667,75
"505",32.6719666666666,76
"5",41.3691,77
"83",31.5536666666667,78
"209",39.0508,79
"285",14.2811,80
"530",28.3317,81
"55",44.0978333333334,82
"126",45.4031333333334,83
"147",44.1526,84
"187",45.5765666666667,85
"266",36.9373666666667,86
"286",26.8455666666667,87
"390",42.6012333333333,88
"127",37.0018333333334,89
"166",40.7844333333333,90
"188",40.6457,91
"210",34.4969333333333,92
"287",38.9348666666667,93
"409",45.8519333333333,94
"433",53.1560333333333,95
"6",34.0585,96
"148",28.9901666666667,97
"167",28.2875666666667,98
"267",46.5674,99
"288",34.2807666666667,100
"311",34.1387333333333,101
"367",33.7963666666667,102
"7",33.0714666666667,103
"84",40.638,104
"102",37.6873,105
"128",26.1727333333333,106
"268",45.1931333333333,107
"289",32.2733,108
"312",31.2621666666667,109
"455",56.6595666666667,110
"410",39.2589333333333,111
"456",39.6036666666667,112
"506",29.6954666666667,113
"85",45.7806333333333,114
"335",35.4809333333333,115
"56",44.4589666666667,116
"269",27.6474,117
"8",40.0270666666667,118
"336",30.5638,119
"457",48.1682333333333,120
"479",52.6948666666667,121
"86",28.9063666666667,122
"211",53.2276,123
"227",49.5669,124
"458",30.554,125
"480",51.2303333333333,126
"30",41.0102333333334,127
"57",38.9875,128
"129",48.6028333333333,129
"149",46.7177333333333,130
"246",50.6929333333333,131
"337",36.3352666666667,132
"411",46.8189666666667,133
"531",34.3497,134
"87",42.6358666666667,135
"434",73.2295666666667,136
"481",39.9633666666667,137
"58",36.2535333333333,138
"189",44.9082666666667,139
"228",55.1772,140
"338",43.9238,141
"412",56.4725,142
"31",38.8101,143
"247",28.5980333333333,144
"270",53.0333666666666,145
"313",58.1823,146
"229",54.8387666666667,147
"368",44.4334333333333,148
"459",53.7985333333333,149
"9",38.2958666666667,150
"103",66.2122666666667,151
"314",37.7773,152
"391",63.6924,153
"32",55.0742333333333,154
"59",43.9362666666667,155
"130",45.8537,156
"168",39.0983,157
"271",50.4098333333333,158
"290",47.4741666666667,159
"339",45.9560666666667,160
"482",35.6754333333334,161
"507",57.6778666666667,162
"131",49.5923,163
"169",42.6606666666667,164
"212",58.2367666666667,165
"230",47.3331333333333,166
"291",53.7660666666666,167
"315",52.643,168
"340",51.1927333333333,169
"392",58.6956,170
"132",57.8105666666667,171
"150",57.5710666666667,172
"190",46.6888333333333,173
"292",39.5559333333333,174
"460",44.5614666666667,175
"508",45.9028666666667,176
"532",45.4328666666667,177
"60",42.1186666666667,178
"104",53.2085666666667,179
"213",54.2368333333333,180
"272",49.15,181
"369",37.5845333333333,182
"393",43.2894,183
"509",34.4686,184
"10",57.8083,185
"33",67.5498333333333,186
"105",53.5443,187
"191",53.0311333333333,188
"214",48.2164333333334,189
"248",42.3895,190
"413",55.616,191
"435",38.7198666666667,192
"34",46.3869333333333,193
"249",44.4404333333333,194
"394",28.7401666666666,195
"510",42.9765333333333,196
"106",54.9285,197
"215",54.7092333333333,198
"293",40.1664333333333,199
"395",59.1290333333334,200
"436",41.9786333333334,201
"461",49.8236333333334,202
"533",46.4218333333333,203
"107",43.1939333333333,204
"170",22.0407333333333,205
"294",45.4210333333333,206
"511",39.8205333333334,207
"61",41.1656,208
"171",30.0931,209
"216",24.0899,210
"316",34.2835333333333,211
"437",38.854,212
"512",39.2219,213
"108",44.5088,214
"483",57.0257333333334,215
"513",49.8679666666666,216
"341",42.8749,217
"414",52.4922,218
"217",63.1557666666666,219
"231",61.6230333333333,220
"250",48.2950333333333,221
"514",50.7947666666667,222
"88",53.5497,223
"192",55.7132333333333,224
"232",34.3279333333333,225
"295",43.8564,226
"370",38.2454333333333,227
"462",43.1325666666666,228
"515",51.2578,229
"534",51.1330666666667,230
"35",45.0801,231
"109",40.8350666666666,232
"172",45.2717333333333,233
"296",43.9945,234
"371",44.0827333333333,235
"415",61.9297666666667,236
"484",51.9873333333333,237
"516",46.1299666666667,238
"193",55.0887666666667,239
"218",41.4358666666667,240
"251",63.1625666666667,241
"416",64.8108,242
"11",55.6842666666667,243
"194",63.0168666666667,244
"342",46.3115333333333,245
"372",47.1508,246
"396",53.6423666666666,247
"417",68.5769,248
"133",54.3596,249
"195",53.9095333333334,250
"297",54.2265,251
"343",49.5334333333333,252
"438",63.6618,253
"463",45.0260666666667,254
"485",28.8327333333333,255
"12",48.5617333333333,256
"273",60.0041,257
"373",57.1725666666667,258
"418",67.8374666666667,259
"134",59.7994333333333,260
"317",55.9569,261
"439",51.3025666666667,262
"486",51.1878666666666,263
"535",51.482,264
"36",43.7561,265
"62",49.7985666666667,266
"196",58.3478,267
"344",56.2188333333333,268
"374",56.2690666666666,269
"397",51.5947666666667,270
"487",54.0210333333334,271
"517",45.4241333333333,272
"89",51.7868,273
"173",46.3657,274
"298",54.3638,275
"345",51.2192333333333,276
"419",56.9775333333333,277
"464",41.5967333333333,278
"536",59.6134333333333,279
"37",51.2107666666667,280
"488",63.3968666666667,281
"38",38.7371333333333,282
"90",49.3663333333333,283
"197",33.9540333333333,284
"346",59.0112333333333,285
"420",57.4191666666667,286
"489",69.2280333333334,287
"13",46.1395,288
"63",61.4037666666667,289
"135",43.2082,290
"151",42.0099,291
"318",53.4763333333333,292
"490",56.7083,293
"537",49.1753333333333,294
"39",59.7747666666667,295
"152",53.8774666666667,296
"219",45.8589333333333,297
"233",68.4577,298
"347",53.3019333333333,299
"14",59.3670666666667,300
"153",53.6251666666667,301
"274",61.6428666666667,302
"348",53.1722666666667,303
"375",54.4049333333333,304
"15",56.7218,305
"376",57.0182,306
"440",58.8961,307
"234",54.1468,308
"465",41.4372,309
"91",55.548,310
"154",55.4249,311
"319",58.7493333333333,312
"349",55.1863666666666,313
"377",53.9303,314
